ID,Last Updated,Current Ver,Android Ver,Installs,Size
1713,2018-07-23,5423,4.1,50000000,Varies with device
1714,2018-07-30,1.0.6,4.4,10000000,99
1715,2018-08-02,1.0.47,4.1,10000000,87
1716,2018-06-06,1.1.3,3,10000000,3.9
1717,2018-07-10,1.118.4,4.1,100000000,67
1718,2018-07-19,2.21.5,4.0.3 ,10000000,Varies with device
1719,2018-08-03,1.21.0,4.0.3 ,100000000,53
1720,2018-03-06,2.9,2.3,5000000,7.8
1721,2018-07-23,2.12.5,4.1,50000000,Varies with device
1722,2018-06-27,2.3.2,4.1,100000000,97
1723,2018-07-19,4.8.0.132,4.1,500000000,Varies with device
1724,2018-08-02,Varies with device,Varies with device,100000000,Varies with device
1725,2018-05-29,1.4.0.1,4,50000000,59
1726,2018-08-01,5.66,4.1,10000000,Varies with device
1727,2018-07-03,2.6.9,4.1,100000000,46
1728,2018-05-24,1.0.27,4.1,10000000,75
1729,2018-08-01,1.0.8,2.3,1000000,50
1730,2018-07-05,1.49.1,4,500000000,62
1731,2018-06-15,Varies with device,Varies with device,100000000,Varies with device
1732,2018-07-23,1.5.4,4.0.3 ,5000000,23
1733,2017-07-17,1.2.1,4.0.3 ,10000000,72
1734,2018-07-26,5.1.8,2.3,100000000,70
1735,2018-07-11,2.2.3181,4,1000000,18
1736,2017-11-14,Varies with device,2.3,100000000,Varies with device
1737,2018-08-02,1.7.40,4.1,100000000,35
1738,2018-07-31,2.8.2.59,4.1,100000000,78
1739,2018-07-17,3.9.2,4.3,10000000,25
1740,2018-07-16,5.064,4.4,100000000,74
1741,2018-05-24,7.9.3,4.1,100000000,97
1742,2018-07-06,3.3.3179,4.0.3 ,10000000,17
1743,2018-02-27,2.5,4.1,100000000,53
1744,2018-08-02,1.17.2,4.2,100000000,Varies with device
1745,2018-04-11,4,4.1,100000000,11
1746,2018-05-22,1.7.2,4.0.3 ,10000000,60
1747,2018-03-05,2.10.2,4.0.3 ,50000000,57
1748,2018-08-02,1.9.2,4.0.3 ,1000000,14
1749,2018-07-31,2.347.225742,4.1,100000000,67
1750,2018-04-09,1.0.6,4.1,100000000,33
1751,2018-07-12,1.90.0,4.1,1000000000,76
1752,2018-07-05,1.129.0.2,4.1,500000000,74
1753,2018-07-30,3196,4.1,10000000,Varies with device
1754,2018-07-31,1.2.7,4.1,50000000,40
1755,2018-05-29,1.4.0.1,4,50000000,59
1756,2018-07-31,4.0.0,4.0.3 ,100000000,52
1757,2018-08-02,Varies with device,Varies with device,100000000,Varies with device
1758,2017-11-14,Varies with device,2.3,100000000,Varies with device
1759,2018-07-25,6.0.0,4.1,100000000,100
1760,2018-07-05,1.49.1,4,500000000,62
1761,2018-07-05,Varies with device,4.4,50000000,Varies with device
1762,2018-08-03,5.13.007,4.1,50000000,Varies with device
1763,2018-07-23,2.12.5,4.1,50000000,Varies with device
1764,2018-08-03,3.1.0.226,4.1,100000000,Varies with device
1765,2018-07-23,0.111.3,4.4,100000000,85
1766,2018-08-02,1.0.47,4.1,10000000,87
1767,2018-07-06,5.2,5,10000000,33
1768,2018-04-23,1.24,4.1,50000000,32
1769,2018-05-25,1.7.0,4.1,10000000,40
1770,2018-08-03,1.0.9,4.4,1000000,29
1771,2018-05-03,1.4.6,4.1,10000000,40
1772,2018-08-01,2.0.6,4.1,5000000,24
1773,2018-07-25,1.2.9,4.1,5000000,38
1774,2018-05-03,4.17.2,4,100000000,52
1775,2018-08-05,1.0.1.049,4.1,1000000,Varies with device
1776,2018-07-17,1.6,4.1,1000000,54
1777,2018-07-19,2.5.0,4.1,10000000,71
1778,2018-07-23,1.0.8,4.1,10000000,73
1779,2018-03-05,2.10.2,4.0.3 ,50000000,57
1780,2018-07-17,1.0.2,4.3,500000,38
1781,2018-07-20,1.2.0,4.1,1000000,62
1782,2018-08-03,2.79.0,4.1,100000000,95
1783,2018-05-22,1.3.3,4.4,5000000,16
1784,2018-07-24,1.2.1,5,5000000,39
1785,2018-07-27,1.7.2,4.1,10000000,78
1786,2018-07-24,0.7.0,4.3,50000000,36
1787,2018-07-31,Varies with device,Varies with device,50000000,Varies with device
1788,2018-08-04,1.8.2,4.1,10000000,31
1789,2018-08-01,Varies with device,4.1,10000000,Varies with device
1790,2018-07-11,1.1.1,5,10000000,98
1791,2018-07-17,1.4.51,4.1,50000000,24
1792,2018-07-24,1.3.1,4.1,10000000,85
1793,2018-04-09,1.0.6,4.1,100000000,33
1794,2018-07-20,3.04.1,4.0.3 ,5000000,100
1795,2018-07-24,0.7.0,4.3,50000000,36
1796,2018-07-26,1.2,5,10000000,86
1797,2018-07-26,1.1.4,4.1,1000000,80
1798,2018-08-02,1.0.47,4.1,10000000,87
1799,2018-07-19,3.00.11034,5,1000000,79
1800,2018-08-01,2.2.7,4.1,10000000,30
1801,2018-08-01,1.9.3,4.1,10000000,87
1802,2018-07-31,1.4.0,4.4,5000000,91
1803,2018-07-12,1.2.5,5,10000000,63
1804,2018-08-01,1.8.2,4.4,10000000,Varies with device
1805,2018-05-29,2.0.1,4.1,1000000,Varies with device
1806,2018-07-18,1.1.1,4.1,5000000,95
1807,2018-08-03,1.11.0,6,5000000,48
1808,2018-07-31,1.2.2,Varies with device,5000000,Varies with device
1809,2018-07-13,1.8.0.900,4.0.3 ,10000000,Varies with device
1810,2018-07-05,5.6.5,4.1,5000000,93
1811,2018-08-01,2.2.3,4.0.3 ,5000000,53
1812,2018-06-27,1.2.1,4.2,1000000,82
1813,2018-07-31,1.7,4.4,5000000,99
1814,2018-07-30,1.2.2,4.1,10000000,49
1815,2018-08-02,1.8.1,4.1,1000000,25
1816,2018-08-02,4.9.31,Varies with device,1000000,Varies with device
1817,2018-07-30,3.6.0,4.1,5000000,91
1818,2018-07-16,0.5.4,6,1000000,52
1819,2018-08-01,1.180271.184729,4,10000000,56
1820,2018-08-03,1.3.205,2.3,10000000,56
1821,2018-07-19,2.1.1.4.0,4.4,10000000,85
1822,2018-08-01,1.5.2,4.1,1000000,81
1823,2018-07-06,1.2.0,4.3,1000000,82
1824,2018-08-04,1.250.078,4.0.3 ,5000000,98
1825,2018-07-31,2.0.2,4.0.3 ,10000000,77
1826,2018-07-11,1.05.20,4.4,5000000,99
1827,2018-06-15,3.30.4.83,4.1,10000000,Varies with device
1828,2018-05-18,2.0081_206,4.0.3 ,100000,96
1829,2018-08-02,1.3.3,4.3,1000000,96
1830,2018-07-03,2.2.1,4.3,1000000,82
1831,2018-07-26,1.8.2,4.4,100000,70
1832,2018-07-04,2.1.2,4.4,100000,63
1833,2018-07-30,2.2.5,5,100000,35
1834,2018-04-18,1.0.1,4.4,100000,48
1835,2018-04-26,1.1.0,2.3,100000,84
1836,2018-07-09,Varies with device,4.4,100000,15
1837,2017-12-21,1.2.1.1712080,4.0.3 ,100000,69
1838,2016-12-20,1.0.11,2.3.3 ,100000,46
1839,2015-10-19,1.0.6,4.1,100000,15
1840,2017-11-30,1.2.9,4.4,100000,33
1841,2018-08-03,1.11.0,6,5000000,48
1842,2018-07-31,2.347.225742,4.1,100000000,67
1843,2018-07-05,1.129.0.2,4.1,500000000,74
1844,2018-07-26,2.21.1,4.1,100000000,57
1845,2018-07-31,4.0.0,4.0.3 ,100000000,52
1846,2018-06-11,1.13.12,4.1,10000000,25
1847,2018-08-01,1.8.2,4.4,10000000,Varies with device
1848,2018-07-24,0.7.0,4.3,50000000,36
1849,2018-07-16,5.39.1,4.0.3 ,10000000,31
1850,2018-07-31,1.4.0,4.4,5000000,91
1851,2018-08-02,5.8.1,Varies with device,10000000,Varies with device
1852,2018-07-30,19.1.0,4.0.3 ,50000000,92
1853,2018-08-02,1.3.15,4.4,5000000,70
1854,2018-07-30,2.3.5,4.0.3 ,10000000,93
1855,2018-08-01,4.6.2.46103,4.0.3 ,10000000,52
1856,2018-07-30,3.6.0,4.1,5000000,91
1857,2018-06-19,12.0.4.62276,4.0.3 ,10000000,37
1858,2018-07-27,1.5.4,4.1,10000000,64
1859,2018-07-12,1.93,4.4,500000,35
1860,2018-08-03,1.8.225278,6,1000000,97
1861,2018-07-24,3.0.0,4.0.3 ,5000000,93
1862,2018-07-30,4.0.1,4.0.3 ,50000000,28
1863,2018-07-17,3.0.2,4.0.3 ,5000000,83
1864,2018-05-30,1.14.0,2.3,10000000,99
1865,2018-07-26,1.18.0,4,500000,55
1866,2018-07-03,2.2.1,4.3,1000000,82
1867,2018-07-26,1.76,2.3,50000000,14
1868,2018-07-18,1.1.8,4.0.3 ,5000000,81
1869,2018-07-26,1.1.40,4.0.3 ,1000000,Varies with device
1870,2018-07-05,1.129.0.2,4.1,500000000,74
1871,2018-07-31,2.347.225742,4.1,100000000,67
1872,2018-07-31,4.0.0,4.0.3 ,100000000,52
1873,2018-07-12,1.90.0,4.1,1000000000,76
1874,2018-07-10,1.118.4,4.1,100000000,67
1875,2018-08-01,1.0.8,2.3,1000000,50
1876,2018-07-17,1.20.1,4.0.3 ,10000000,46
1877,2018-07-30,3196,4.1,10000000,Varies with device
1878,2018-07-23,5423,4.1,50000000,Varies with device
1879,2018-06-27,2.3.2,4.1,100000000,97
1880,2018-07-15,10.322.16,4.1,100000000,98
1881,2018-07-26,5.1.8,2.3,100000000,70
1882,2018-07-06,2.2.00,4.1,100000000,69
1883,2018-06-06,1.1.3,3,10000000,3.9
1884,2018-03-06,2.9,2.3,5000000,7.8
1885,2018-07-11,2.2.3181,4,1000000,18
1886,2018-05-25,1.4.77,4,500000000,24
1887,2018-07-05,1.49.1,4,500000000,62
1888,2018-04-11,4,4.1,100000000,11
1889,2018-07-13,1.8.0.900,4.0.3 ,10000000,Varies with device
1890,2018-08-02,1.0.47,4.1,10000000,87
1891,2018-07-03,3.7.2.51,4.1,100000000,99
1892,2017-11-14,Varies with device,2.3,100000000,Varies with device
1893,2018-07-12,2.8.0,4.0.3 ,100000000,82
1894,2018-06-28,1_39_93,4.0.3 ,100000000,94
1895,2018-07-13,2.6.2,4.0.3 ,50000000,Varies with device
1896,2018-07-19,2.21.5,4.0.3 ,10000000,Varies with device
1897,2018-08-01,5.66,4.1,10000000,Varies with device
1898,2018-06-13,1.751,4.4,100000000,96
1899,2018-05-24,1.0.27,4.1,10000000,75
1900,2018-08-03,5.13.007,4.1,50000000,Varies with device
1901,2017-12-29,1.3,4,1000000,14
1902,2018-05-29,1.4.0.1,4,50000000,59
1903,2018-07-16,5.064,4.4,100000000,74
1904,2018-07-16,79,4.1,10000000,29
1905,2018-07-06,3.3.3179,4.0.3 ,10000000,17
1906,2018-05-24,7.9.3,4.1,100000000,97
1907,2018-07-31,2.8.2.59,4.1,100000000,78
1908,2018-07-23,2.12.5,4.1,50000000,Varies with device
1909,2018-07-19,4.8.0.132,4.1,500000000,Varies with device
1910,2018-07-02,1.37.2,4.2,100000000,63
1911,2018-08-02,Varies with device,Varies with device,100000000,Varies with device
1912,2018-07-17,3.9.2,4.3,10000000,25
1913,2018-05-11,14,4.0.3 ,5000000,29
1914,2017-07-17,1.2.1,4.0.3 ,10000000,72
1915,2018-06-15,Varies with device,Varies with device,100000000,Varies with device
1916,2018-08-03,1.21.0,4.0.3 ,100000000,53
1917,2018-07-20,Varies with device,Varies with device,50000000,Varies with device
1918,2018-07-12,1.90.0,4.1,1000000000,76
1919,2018-04-09,1.0.6,4.1,100000000,33
1920,2018-08-01,3.1.0,5,100000000,60
1921,2018-07-05,1.49.1,4,500000000,62
1922,2017-11-14,Varies with device,2.3,100000000,Varies with device
1923,2018-07-23,2.12.5,4.1,50000000,Varies with device
1924,2018-07-31,2.8.2.59,4.1,100000000,78
1925,2018-05-24,1.0.27,4.1,10000000,75
1926,2018-08-02,Varies with device,Varies with device,100000000,Varies with device
1927,2018-06-29,3.0.1,4.1,50000000,70
1928,2017-04-12,1.3,2.3.3 ,50000000,99
1929,2018-07-30,1.0.6,4.4,10000000,99
1930,2018-07-05,Varies with device,4.4,50000000,Varies with device
1931,2018-07-18,3.0.0,4.2,50000000,27
1932,2017-04-12,1.6.1,4.0.3 ,10000000,70
1933,2018-07-02,1.9.38,3,100000000,88
1934,2018-06-05,1.7.1,4,10000000,63
1935,2018-06-26,5.1.2,3,10000000,82
1936,2018-08-03,1.11.0,6,5000000,48
1937,2018-07-23,Varies with device,Varies with device,50000000,Varies with device
1938,2018-08-03,1.8.20,4.1,10000000,31
1939,2018-08-03,1.1.5,2.3,50000000,23
1940,2018-07-09,2.11.1,4.1,50000000,Varies with device
1941,2018-08-01,1.8.4,4.1,10000000,59
1942,2017-06-28,108,4,10000000,39
1943,2017-03-14,3.1.1,3,10000000,54
1944,2017-10-15,1.2.3,2.3,10000000,48
1945,2018-07-05,1.1.7,4.1,100000,Varies with device
1946,2018-01-29,1.4.0,4.1,10000000,30
1947,2017-07-28,2.4.2,2.3.3 ,10000000,66
1948,2018-07-23,2.2.8,4.0.3 ,100000000,32
1949,2018-08-01,1.0.8,2.3,1000000,50
1950,2018-08-03,1.21.0,4.0.3 ,100000000,53
1951,2018-07-16,0.5.8,4.1,1000000,61
1952,2018-01-24,8,4.1,1000000,49
1953,2018-07-26,1.3,5,5000000,38
1954,2018-03-16,1.2.7,4.0.3 ,10000000,20
1955,2018-08-06,1.2.6,4.0.3 ,10000000,Varies with device
1956,2018-07-16,Varies with device,Varies with device,10000000,Varies with device
1957,2017-10-12,1.2.7,4.1,10000000,66
1958,2018-08-01,1.15.2,4.0.3 ,100000000,57
1959,2018-06-29,2.8.0,4,5000000,95
1960,2018-05-25,Varies with device,Varies with device,5000000,Varies with device
1961,2018-06-18,1.11.2,4.1,10000000,Varies with device
1962,2018-08-03,1.0.7,4,100000,32
1963,2018-07-25,4.1.1,4.1,50000000,33
1964,2018-08-05,1.2,4.2,5000000,66
1965,2018-08-01,2.6.61,4.0.3 ,50000000,75
1966,2018-08-03,6.2,4.0.3 ,10000000,29
1967,2018-07-05,1.129.0.2,4.1,500000000,74
1968,2018-07-06,2.2.00,4.1,100000000,69
1969,2018-03-06,2.9,2.3,5000000,7.8
1970,2018-04-09,1.0.6,4.1,100000000,33
1971,2018-07-31,4.0.0,4.0.3 ,100000000,52
1972,2018-07-20,2.11.2,4.0.3 ,10000000,50
1973,2018-07-17,1.20.1,4.0.3 ,10000000,46
1974,2018-06-08,Varies with device,Varies with device,10000000,12
1975,2018-06-04,1.9.1,4.0.3 ,5000000,41
1976,2018-07-05,57.0.8,4.0.3 ,10000000,63
1977,2018-02-27,2.5,4.1,100000000,53
1978,2018-07-02,1.37.2,4.2,100000000,63
1979,2017-04-12,1.3,2.3.3 ,50000000,99
1980,2018-07-25,3.5,4.1,5000000,Varies with device
1981,2018-07-04,2.9.3181,4.0.3 ,10000000,20
1982,2018-04-11,4,4.1,100000000,11
1983,2018-05-24,1.0.27,4.1,10000000,75
1984,2018-08-03,1.0.109,4,10000000,13
1985,2018-07-03,2.6.9,4.1,100000000,46
1986,2018-07-20,2.1.10,4,50000000,78
1987,2018-07-05,3.7.2,4.1,100000000,49
1988,2017-12-29,1.3,4,1000000,14
1989,2018-07-25,6.0.0,4.1,100000000,100
1990,2018-08-02,3.15,4.1,10000000,Varies with device
1991,2018-05-24,7.9.3,4.1,100000000,97
1992,2018-08-02,5.8.1,Varies with device,10000000,Varies with device
1993,2018-08-02,1.17.2,4.2,100000000,Varies with device
1994,2018-06-15,2.4.2,4,5000000,15
1995,2018-07-23,60,4.1,10000000,33
1996,2017-07-17,1.6,2.3,1000000,Varies with device
1997,2018-06-29,3.0.1,4.1,50000000,70
1998,2018-08-03,2.0.4,4.1,10000000,10
1999,2018-05-10,1.7.04,4.4,10000000,77
2000,2018-07-23,2.12.5,4.1,50000000,Varies with device
2001,2018-08-03,5.13.007,4.1,50000000,Varies with device
2002,2018-04-13,2.9,2.3.3 ,5000000,4.9
2003,2018-08-03,1.3.35,4.1,10000000,Varies with device
2004,2018-07-17,3.9.2,4.3,10000000,25
2005,2018-06-13,1.751,4.4,100000000,96
2006,2018-07-11,2.5.3182,2.3,5000000,23
2007,2018-02-14,1.1,4,10000000,51
2008,2018-07-19,1.10.12,4.1,100000000,96
2009,2018-06-15,Varies with device,Varies with device,100000000,Varies with device
2010,2018-07-23,Varies with device,Varies with device,50000000,Varies with device
2011,2018-07-02,Varies with device,Varies with device,50000000,Varies with device
2012,2018-07-26,5.1.8,2.3,100000000,70
2013,2016-11-22,1,2.3.3 ,50000000,38
2014,2018-05-22,1.4.12,4.1,10000000,24
2015,2018-08-03,3.43.3,4.1,50000000,Varies with device
2016,2018-07-04,2.9.3181,4.0.3 ,10000000,20
2017,2018-07-31,2.347.225742,4.1,100000000,67
2018,2018-07-23,1.9.3901,4.0.3 ,1000000,19
2019,2018-07-17,1.49,4.0.3 ,5000000,51
2020,2018-08-02,1.24.3181,4.0.3 ,5000000,22
2021,2018-07-16,1.1.6.7,4.1,1000000,46
2022,2018-07-04,1.8.3181,4.0.3 ,1000000,21
2023,2018-04-03,2.4,4.1,5000000,39
2024,2018-05-24,2.0.3165,2.3,1000000,23
2025,2018-07-16,1.7.101,4.1,100000,26
2026,2018-02-25,1.2.8,4,5000000,39
2027,2018-04-17,1.5,4.1,50000000,24
2028,2018-04-17,2.2.3169,4.0.3 ,1000000,15
2029,2018-02-01,1.0.3122,4.0.3 ,500000,20
2030,2018-05-22,1.4.12,4.1,10000000,24
2031,2018-08-01,1.1.0,2.3,500000,44
2032,2018-05-16,3.1,4.1,5000000,38
2033,2018-07-18,1.0.6,4.1,1000000,52
2034,2018-01-15,2.0.0,4.0.3 ,500000,14
2035,2018-06-15,8.25.10.00,4.0.3 ,10000000,49
2036,2018-02-01,2.7,2.3,500000,8.9
2037,2018-05-28,Varies with device,Varies with device,1000000,Varies with device
2038,2017-06-29,1.2.3-play,4.1,50000000,56
2039,2018-06-05,2.0.1,4.0.3 ,10000000,99
2040,2017-07-07,1.0.1,4.0.3 ,1000000,10
2041,2018-08-03,Varies with device,Varies with device,10000000,6.9
2042,2018-01-09,2.3.3122,2.3,5000000,20
2043,2018-08-05,1.0.9,4.0.3 ,1000000,10
2044,2018-07-12,6.1,4.0.3 ,5000000,19
2045,2018-07-31,3.5.3183,4.0.3 ,500000,33
2046,2018-07-30,1.3.7,4.1,10000000,85
2047,2018-08-03,8.4.3180,4,1000000,48
2048,2017-07-14,1.0.1,4.0.3 ,1000000,9.6
2049,2018-06-22,Varies with device,4,10000000,Varies with device
2050,2017-10-06,2.2,4.1,10000000,15
2051,2018-07-12,Varies with device,Varies with device,100000000,Varies with device
2052,2018-08-03,1.73,4.0.3 ,10000000,50
2053,2017-07-17,1.4.4,2.3.3 ,10000000,51
2054,2018-05-27,2,4,1000000,24
2055,2018-07-29,1.2.0,4.1,10000000,13
2056,2018-05-25,2.2.3172,4.0.3 ,1000000,16
2057,2018-08-01,Varies with device,Varies with device,100000000,Varies with device
2058,2018-06-28,Varies with device,4.4,10000000,Varies with device
2059,2018-07-27,1.0.89,4.4,100000,63
2060,2017-11-06,1.2,4.1,5000000,15
2061,2018-07-23,2.180723,4.1,100000,26
2062,2018-07-18,1.1.2,5,10000,81
2063,2018-06-14,1.0.1,4.4,5000,79
2064,2018-07-05,Varies with device,4.4,5000000,Varies with device
2065,2018-07-11,1,4.2,100000,94
2066,2018-07-16,1.1.6.7,4.1,1000000,46
2067,2018-03-21,2.0.5.0,4.1,1000000,43
2068,2018-07-12,8.25.10.01,4.0.3 ,5000000,45
2069,2018-03-23,1.6.4,4.1,1000000,91
2070,2018-07-31,1.2.0,4.1,1000000,91
2071,2018-07-16,2.0.7.4,4.1,1000000,53
2072,2018-02-07,1.1,4.4,1000000,28
2073,2018-05-18,2.4,4.4,5000000,26
2074,2018-06-02,5.3.11,5,500000,56
2075,2018-08-03,1.2.7,4.1,500000,80
2076,2018-07-06,7.32,4.0.3 ,1000000,60
2077,2018-03-28,Varies with device,Varies with device,1000000,Varies with device
2078,2018-06-18,3.4.0,Varies with device,50000,67
2079,2018-07-24,1.2.1,4.1,1000000,78
2080,2018-05-31,10.18053,4.0.3 ,1000000,27
2081,2018-05-30,Varies with device,Varies with device,10000000,Varies with device
2082,2018-08-06,149,4.1,100000,63
2083,2018-07-12,1.7.2,4.1,100000,26
2084,2018-07-16,1.8.3,4.1,500000,46
2085,2018-07-04,1.180702,4.1,500000,83
2086,2018-05-25,1.08,4.1,5000,60
2087,2018-07-09,1.1,4.4,1000,44
2088,2018-06-25,1.5.0,4.1,500,82
2089,2018-07-31,2.347.225742,4.1,100000000,67
2090,2018-06-05,2.0.1,4.0.3 ,10000000,99
2091,2018-07-12,Varies with device,Varies with device,100000000,Varies with device
2092,2018-05-22,1.4.12,4.1,10000000,24
2093,2017-07-12,3.2.473.202,4,1000000,78
2094,2018-06-28,Varies with device,4.4,10000000,Varies with device
2095,2018-08-01,1.3.3,4.1,100000,Varies with device
2096,2017-07-17,1.4.4,2.3.3 ,10000000,51
2097,2018-06-29,1.221,4.1,1000000,94
2098,2017-12-20,1.3,4.1,5000000,16
2099,2017-08-31,1.1.9,4.1,500000,93
2100,2018-05-21,1.6,4.0.3 ,10000000,77
2101,2018-06-20,8.25.10.00,4.0.3 ,1000000,32
2102,2018-07-30,3.2.4,4.4,1000000,58
2103,2018-06-13,1.1.1,4.2,100000,48
2104,2018-06-13,1.4.3,4.2,50000,69
2105,2018-01-19,6.7.5222,4.1,50000000,73
2106,2017-08-23,1.0.8,4.1,500000,99
2107,2017-11-22,1.4,4.1,10000000,16
2108,2018-08-02,1.1.23,4.0.3 ,500000,54
2109,2017-03-07,1.0.1,4,1000000,56
2110,2018-06-26,1.28.01,4.1,10000000,68
2111,2018-03-28,1.3,4.1,1000000,25
2112,2018-03-07,1.0.0,4.1,100000,7
2113,2018-06-20,2.1.6579,4.1,5000000,54
2114,2017-01-19,1.0.9,2.3,1000000,51
2115,2018-03-08,Varies with device,4.1,1000000,Varies with device
2116,2017-10-15,1.2.3,2.3,10000000,48
2117,2018-07-02,1.47,4.3,1000000,44
2118,2018-01-21,1.20.2,2.3,10000000,8.7
2119,2018-08-02,3.2.0h,4.0.3 ,10000000,91
2120,2017-10-04,2.1.20,2.3.3 ,50000000,97
2121,2018-03-05,1.6,4.1,10000000,26
2122,2018-07-05,1.5,4.1,5000000,16
2123,2018-07-11,3.49,4.2,100000,Varies with device
2124,2016-07-22,37893,4,10000000,53
2125,2018-06-29,2.8.0,4,5000000,95
2126,2018-05-30,3.200.18289,4.4,10000000,83
2127,2017-05-18,1.4.2.1,2.3.3 ,1000000,78
2128,2017-06-29,1.2.3-play,4.1,50000000,56
2129,2018-07-26,1.19,4.1,1000000,21
2130,2018-07-26,1.24,4.1,10000000,26
2131,2017-10-11,2.4.9,4,1000000,60
2132,2018-06-16,18.1,4.2,10000000,22
2133,2018-06-29,2.8.0,4,5000000,95
2134,2017-10-15,1.2.3,2.3,10000000,48
2135,2017-08-31,1.22.0,4.0.3 ,10000000,58
2136,2018-08-02,3.2.0h,4.0.3 ,10000000,91
2137,2018-02-02,5.2,4.1,5000000,22
2138,2016-02-18,1.0.4,2.3,1000000,36
2139,2018-07-27,6.7.0,4.2,50000000,37
2140,2017-03-15,1.4.2,4.0.3 ,1000000,70
2141,2018-06-13,3.6.1,4.1,10000000,34
2142,2018-04-03,1.6.4,4.1,500000,49
2143,2016-03-05,1.0.3,2.3,500000,9.8
2144,2018-06-19,1.2.0,5.1,500000,37
2145,2018-07-28,3.7.2.7,4.2,100000,Varies with device
2146,2016-02-02,1.1.1,4,100000,55
2147,2018-07-23,2.5.6,4.1,1000000,84
2148,2017-01-13,2.0.0,4.1,10000,16
2149,2018-05-08,2.7.4,4,10000000,92
2150,2018-06-21,2.19.01,4.1,500000,57
2151,2017-07-13,Varies with device,Varies with device,100000,Varies with device
2152,2018-07-06,1.5-play,4.4,500000,24
2153,2015-12-01,Varies with device,4.0.3 ,10000,6.9
2154,2015-06-17,2.0.1,2.3,10000,44
2155,2017-03-23,4.0.2,2.3,1000,11
2156,2018-07-12,7.5,4.0.3 ,10000000,16
2157,2017-08-02,1.15.3028.0,2.3,5000000,17
2158,2017-07-03,1.6.3028.0,2.3,1000000,18
2159,2018-07-05,5.2,4.1,1000000,16
2160,2018-07-24,4.0.2,4.1,1000000,19
2161,2018-05-24,2.9.7,3,100000,1.6
2162,2018-05-15,2.2.3,4.1,100000,47
2163,2017-09-12,1.2.16,2.3,50000,16
2164,2018-07-04,2.8,4.0.3 ,500000,14
2165,2018-05-22,1.1.0,4.1,100000,Varies with device
2166,2018-07-31,1.19.56.434,4.4,5000000,75
2167,2017-01-26,0.1.0,4,1000,25
2168,2016-09-08,4.2,2.3,100000,5.7
2169,2018-05-16,Varies with device,Varies with device,1000,Varies with device
2170,2018-06-13,20180609,4,50000,17
2171,2018-03-30,2.4.15,4,1000,3.5
2172,2018-06-14,20180609,4,100,16
2173,2015-09-03,1.1,5.1,100,42
2174,2014-11-14,1.2,2.3.3 ,1000,47
2175,2017-12-13,3.3.1,4.1,5000,67
2176,2018-07-24,1.6,4.1,5000,26
2177,2018-05-01,1.16.5,4.1,1000,72
2178,2016-08-02,1.3.3,2.3,10000,37
2179,2016-02-09,1.0.3,4,10000,1.2
2180,2015-08-12,2.0.5,2.3,5000,17
2181,2018-07-06,18.2,4.0.3 ,10000000,19
2182,2015-08-24,1.7.1,4,1000000,23
2183,2018-01-31,2.0.7,2.3,1000000,25
2184,2016-06-16,1.3,4.0.3 ,1000000,83
2185,2018-07-11,1,4.2,100000,94
2186,2016-11-07,1.0.3,4.0.3 ,100000,97
2187,2013-05-22,1,2.2,100000,37
2188,2018-07-31,2.3,4.4,5000000,92
2189,2017-08-04,2.5,4.3,100000,48
2190,2018-05-21,1.7.0,4.0.3 ,1000,12
2191,2017-03-07,2.6,2.3,10000,15
2192,2016-10-28,1.1,4.0.3 ,10000,83
2193,2014-12-09,1.8,4,50000,9.5
2194,2018-07-06,18.2,4.0.3 ,10000000,19
2195,2015-08-24,1.7.1,4,1000000,23
2196,2018-01-31,2.0.7,2.3,1000000,25
2197,2016-06-16,1.3,4.0.3 ,1000000,83
2198,2018-07-11,1,4.2,100000,94
2199,2016-11-07,1.0.3,4.0.3 ,100000,97
2200,2013-05-22,1,2.2,100000,37
2201,2018-07-31,2.3,4.4,5000000,92
2202,2017-08-04,2.5,4.3,100000,48
2203,2018-05-21,1.7.0,4.0.3 ,1000,12
2204,2017-03-07,2.6,2.3,10000,15
2205,2016-10-28,1.1,4.0.3 ,10000,83
2206,2014-12-09,1.8,4,50000,9.5
2207,2018-07-31,2.347.225742,4.1,100000000,67
2208,2018-07-30,Varies with device,Varies with device,10000000,Varies with device
2209,2018-08-03,3.43.3,4.1,50000000,Varies with device
2210,2018-06-27,3.46,4.2,10000000,Varies with device
2211,2018-07-12,2.6,4.1,5000000,63
2212,2018-06-15,8.25.10.00,4.0.3 ,10000000,49
2213,2017-12-09,1.8,4.2,5000000,14
2214,2018-07-13,2.2.54,4.4,10000000,58
2215,2018-02-02,5.2,4.1,5000000,22
2216,2017-11-21,1.6,4.1,5000000,15
2217,2018-08-01,Varies with device,Varies with device,100000000,Varies with device
2218,2018-07-02,1.3.51,4.4,5000000,50
2219,2018-07-26,1.38.0,4.1,10000000,59
2220,2018-06-13,3.6.1,4.1,10000000,34
2221,2018-07-05,Varies with device,4.4,5000000,Varies with device
2222,2016-12-30,1.3,4.0.3 ,1000000,54
2223,2016-07-22,37893,4,10000000,53
2224,2018-08-03,3.52,4.2,10000000,Varies with device
2225,2018-03-06,3.6.17,2.3,5000000,Varies with device
2226,2018-07-27,6.7.0,4.2,50000000,37
2227,2018-01-24,2.0.8,4.4,10000000,25
2228,2018-05-18,2.4,4.4,5000000,26
2229,2018-07-31,1.1.1,6,1000000,61
